feature,importance
target__count_point_id,0.9489445211868272
num__hour,0.013526202400113926
num__year,0.007894992556312767
target__road_name,0.0073922524221237355
num__latitude,0.006163494333371145
num__is_peak_hour,0.004772108561721204
num__longitude,0.0035119188863034097
onehot__direction_of_travel_N,0.00240733708402893
onehot__direction_of_travel_E,0.002404043606507433
onehot__direction_of_travel_S,0.0016436695650167842
onehot__direction_of_travel_W,0.001332953985463769
onehot__road_type_Minor,3.5307351204728814e-06
onehot__road_type_Major,2.9746770891792676e-06
