feature,importance
target__road_name,0.38507681151170386
num__longitude,0.15628083325198475
onehot__road_type_Minor,0.1430187832612014
onehot__road_type_Major,0.13283598885832698
num__latitude,0.09284252433500102
num__year,0.0358726593241877
num__hour,0.02225926545715598
onehot__flow_direction_lateral,0.004897919280028667
num__is_peak_hour,0.004311845722497645
onehot__direction_of_travel_W,0.003986320806203893
onehot__direction_of_travel_S,0.003961411352166884
onehot__direction_of_travel_N,0.003873893137245266
onehot__direction_of_travel_E,0.003825667446264853
onehot__flow_direction_outbound,0.0035263824593583172
onehot__flow_direction_inbound,0.003429693796672797
