feature,importance_mean,importance_std
target__count_point_id,0.6514613397061071,0.00624178466350474
target__road_name,0.12310655491858999,0.0016964504275116116
num__hour,0.045883262852213336,0.0019556024129469543
onehot__road_type_Major,0.03137353308312396,0.0006873680804923319
num__latitude,0.024303269830690033,0.0007408417643841093
onehot__road_type_Minor,0.023539530945600427,0.0005760567908954161
num__longitude,0.02256697755760555,0.0005664188033488989
num__year,0.016590790053659543,0.001076049314800891
num__is_peak_hour,0.009904465918192685,0.0009307645030415377
onehot__direction_of_travel_S,0.004564673406170172,0.00036500256260938585
onehot__direction_of_travel_N,0.004125616680553457,0.0002475170281119499
onehot__flow_direction_outbound,0.0035416862520610604,0.00024328760590360457
onehot__flow_direction_inbound,0.003427304516188423,0.0002495048343117326
onehot__direction_of_travel_E,0.003287942179223691,0.00023856544244956423
onehot__direction_of_travel_W,0.0029563903534661094,0.000191619014219958
onehot__flow_direction_lateral,0.0027069633126209024,0.00011494686059371853
