parsimony_coefficient,seed,program_length,RMSE,R2
0.0,42,233,214.44582120101305,0.9258167606560813
0.0,1,61,209.09710031061408,0.9294711766416773
0.0,7,85,214.83275675333473,0.9255488139206842
0.0,123,93,210.76863930942707,0.9283390433277462
0.0,2024,59,210.89591745348667,0.9282524685172293
0.05,42,5,212.19990045406024,0.9273624863997487
0.05,1,1,212.1388983084296,0.9274042433210895
0.05,7,3,217.97572420187356,0.9233544620791057
0.05,123,5,212.19990045406024,0.9273624863997487
0.05,2024,5,212.19990045406024,0.9273624863997487
