junction_label,n_distinct_roads,n_count_points,max_spread_km,roads_involved
LA Boundary,10,14,24.14,"['A38', 'A4040', 'A4041', 'A4097', 'A41', 'A441', 'A45', 'A454', 'A457', 'M6']"
A38,7,19,16.71,"['A38', 'A4029', 'A4040', 'A4097', 'A4400', 'A452', 'A4540']"
A4040,11,27,14.83,"['A34', 'A38', 'A4123', 'A435', 'A441', 'A45', 'A453', 'A456', 'A457', 'A47', 'A5127']"
A34,4,9,13.97,"['A4040', 'A4041', 'A41', 'A4540']"
A41,7,19,10.58,"['A34', 'A38', 'A4040', 'A4400', 'A441', 'A45', 'A4540']"
A5127,4,7,9.13,"['A4040', 'A452', 'A453', 'A454']"
A457,3,5,8.54,"['A4040', 'A4540', 'A47']"
A452,5,8,8.5,"['A38', 'A4041', 'A453', 'A47', 'A5127']"
A453,3,7,7.84,"['A34', 'A452', 'A5127']"
A441,5,9,7.33,"['A4029', 'A4040', 'A41', 'A4400', 'A4540']"
6,1,2,7.17,['M6']
B4114,2,2,6.88,"['A4400', 'A452']"
A47,5,8,6.86,"['A4040', 'A452', 'A4540', 'A47', 'M6']"
A4540,11,21,6.1,"['A34', 'A38', 'A38M', 'A41', 'A435', 'A4400', 'A441', 'A45', 'A456', 'A457', 'A47']"
B4217,4,7,4.93,"['A34', 'A38', 'A4029', 'A435']"
A456,3,4,4.91,"['A4123', 'A4540', 'A456']"
A45,2,4,4.76,"['A4040', 'A4540']"
A435,2,3,4.63,"['A4040', 'A4540']"
A4123,2,4,4.57,"['A4040', 'A456']"
A4029,3,6,4.25,"['A38', 'A4029', 'A441']"
A38(M),4,6,3.6,"['A38', 'A38M', 'A4540', 'A5127']"
A34 spur,2,5,3.32,"['A34', 'A453']"
A454,1,2,2.98,['A5127']
A4097,1,2,2.83,['A38']
5,1,3,2.62,['M6']
B4121,1,2,2.28,['A38']
A4400,4,7,1.9,"['A38', 'A4400', 'A457', 'A47']"
B4148,2,4,1.88,"['A38', 'A452']"
A4540 Triangle,1,2,1.86,['A41']
A4440,1,3,1.74,['A41']
B425,1,2,1.62,['A45']
A4040 Stockfield,1,2,1.58,['A41']
B4514,1,2,1.47,['A4040']
A4540 Belgrave Middleway,2,2,1.41,"['A38', 'A4540']"
B4128,1,3,1.4,['A4040']
A4040 Wheelwright Road,2,4,1.34,"['A38', 'A4040']"
A458,1,2,1.17,['A456']
B4132 Waterlinks Boulevard,1,2,1.15,['A38']
Park Circus B4132 Waterlinks Boulevard,1,2,1.15,['A38M']
A4040 Handsworth,1,2,0.98,['A41']
Just West of Birmingham New Street Railway Station,1,2,0.84,['A38']
B4138,1,2,0.8,['A453']
B4149,1,2,0.73,['A452']
M6 roundabout,1,3,0.72,['A452']
A47 Fort Parkway,1,2,0.65,['A452']
A4167,1,2,0.65,['A41']
A4040 Acocks Green,1,2,0.62,['A41']
B4126,1,2,0.61,['A4540']
A45 Triangle,1,2,0.6,['A41']
A4030/A4040,1,2,0.45,['A456']
M6,1,2,0.45,['A453']
B4100,2,3,0.41,"['A38', 'A4400']"
B4133,1,2,0.4,['A4540']
Birmingham Rd,1,2,0.3,['A5127']
Mill St,1,2,0.3,['A5127']
Wharf Road roundabout,1,2,0.24,['A441']
Wharf Rd roundabout,1,2,0.24,['A441']
Icknield St,1,2,0.2,['A4540']
A456/A457 rooundabout,2,3,0.13,"['A38', 'A4400']"
A4040 Bromford Lane,2,2,0.06,"['A38', 'A4040']"
lat: 52.3945 long: -2.0174,1,1,0.0,['A38']
B4148 Whitehouse Common,1,1,0.0,['A453']
lat: 52.4389 long: -1.9402,1,1,0.0,['A38']
lat: 52.4451 long: -1.7098,1,1,0.0,['A45']
M6 Overpass,1,1,0.0,['A453']
Victoria Rd,1,1,0.0,['A5127']
Belgrave Middleway,1,1,0.0,['A435']
New John St West,1,1,0.0,['A4540']
M6(J6),1,1,0.0,['A38']
Dartmouth Circus A4540,1,1,0.0,['A38M']
Great King St roundabout,1,1,0.0,['A4540']
Junction 6 M3,1,1,0.0,['A441']
Junction 7 M3,1,1,0.0,['A441']
M6 Toll slip road,1,1,0.0,['A38']
Junction A34/A453,1,1,0.0,['A453']
LA (Warwickshire),1,1,0.0,['A38']
Lickey Rd roundabout,1,1,0.0,['A38']
Lickey Road roundabout,1,1,0.0,['A38']
M5,1,1,0.0,['A456']
Maypole Lane/Druids Lane roundabout,1,1,0.0,['A435']
A4540 Highgate Middleway,1,1,0.0,['A4540']
B4138 Western route,1,1,0.0,['A452']
B4120,1,1,0.0,['A38']
A4040 Howard Road,1,1,0.0,['A435']
A4040 Handsworth / B4136,1,1,0.0,['A41']
A4040 / B4136 Handsworth,1,1,0.0,['A41']
A4030/A456,1,1,0.0,['A4040']
A4026,1,1,0.0,['A5127']
A38M,1,1,0.0,['A38']
A38(M)/A4540,1,1,0.0,['A5127']
A38(M) mid-junction,1,1,0.0,['A38']
A38 Corporation St,1,1,0.0,['A4400']
A38 Aston Webb Boulevard,1,1,0.0,['A4040']
A38 Aston Webb,2,2,0.0,"['A38', 'A4040']"
A38  M6(J6),1,1,0.0,['A38M']
A34 main route,1,1,0.0,['A34']
A34 / A4440 / A47,1,1,0.0,['A41']
6 / M6,1,1,0.0,['A38']
A4040 Oxhill Rd,1,1,0.0,['A4040']
A4040 Rookery Rd,1,1,0.0,['A4040']
A4040 Rookery rd,1,1,0.0,['A4040']
A441Pershore St,1,1,0.0,['A441']
B4025 roundabout,1,1,0.0,['A34']
A5127 Queen St,1,1,0.0,['A5127']
A456/A457 roundabout,2,3,0.0,"['A38', 'A4400']"
A4540 link to Icknield St,1,1,0.0,['A4540']
A4540 Heaton St,1,1,0.0,['A4540']
A4540 / A435,1,1,0.0,['A41']
A441 Sherlock St,1,1,0.0,['A441']
A4040 South Section,1,1,0.0,['A41']
A441 Pershore St,1,1,0.0,['A441']
A4400/A457 roundabout,1,1,0.0,['A456']
A4400/A38,1,1,0.0,['A34']
A41 The Priory Queensway,1,1,0.0,['A4400']
A4041,1,1,0.0,['A34']
A4040S,1,1,0.0,['A41']
