link_id,road_name,start_junction_road_name,end_junction_road_name,mean_traffic,total_observations
A34 [A34 main route -> A453],A34,A34 main route,A453,844.0416666666666,24
A34 [A34 spur -> A4041],A34,A34 spur,A4041,826.1284722222222,288
A34 [A4040 -> A34 spur],A34,A4040,A34 spur,1040.5,60
A34 [A4040 -> B4217],A34,A4040,B4217,717.4761904761905,168
A34 [A4400/A38 -> A4540],A34,A4400/A38,A4540,1010.1041666666666,48
A34 [A4540 -> A4040],A34,A4540,A4040,1978.150462962963,432
A34 [B4025 roundabout -> A4040],A34,B4025 roundabout,A4040,753.2083333333334,96
A34 [B4217 -> A41],A34,B4217,A41,535.625,120
A38 [6 / M6 -> B4132 Waterlinks Boulevard],A38,6 / M6,B4132 Waterlinks Boulevard,2954.508333333333,120
A38 [A38 -> A38 Aston Webb],A38,A38,A38 Aston Webb,1191.986111111111,72
A38 [A38(M) mid-junction -> A4040 Wheelwright Road],A38,A38(M) mid-junction,A4040 Wheelwright Road,1449.2272727272727,264
A38 [A38M -> A4540],A38,A38M,A4540,560.9166666666666,24
A38 [A4029 -> B4217],A38,A4029,B4217,1117.3583333333333,120
A38 [A4040 -> A4029],A38,A4040,A4029,967.7638888888889,216
A38 [A4040 -> B4148],A38,A4040,B4148,1055.4285714285713,168
A38 [A4040 Wheelwright Road -> A4040 Bromford Lane],A38,A4040 Wheelwright Road,A4040 Bromford Lane,1048.5416666666667,168
A38 [A4097 -> LA Boundary (A38)],A38,A4097,LA Boundary (A38),658.8101851851852,216
A38 [A41 -> A38],A38,A41,A38,2412.3708333333334,240
A38 [A4400 -> A38(M)],A38,A4400,A38(M),2699.6550925925926,432
A38 [A452 -> A4097],A38,A452,A4097,1038.513888888889,288
A38 [A4540 -> A4400],A38,A4540,A4400,2149.125,360
A38 [A456/A457 rooundabout -> B4100],A38,A456/A457 rooundabout,B4100,1655.0208333333333,48
A38 [A456/A457 roundabout -> A38],A38,A456/A457 roundabout,A38,1957.2430555555557,144
A38 [B4120 -> B4121],A38,B4120,B4121,1115.2777777777778,288
A38 [B4121 -> A4040],A38,B4121,A4040,791.65,240
A38 [B4132 Waterlinks Boulevard -> M6(J6)],A38,B4132 Waterlinks Boulevard,M6(J6),3202.3125,144
A38 [B4148 -> A452],A38,B4148,A452,971.671875,192
A38 [B4217 -> A4540],A38,B4217,A4540,1203.7453703703704,216
A38 [Just West of Birmingham New Street Railway Station -> A4540 Belgrave Middleway],A38,Just West of Birmingham New Street Railway Station,A4540 Belgrave Middleway,1695.375,24
A38 [Just West of Birmingham New Street Railway Station -> B4100],A38,Just West of Birmingham New Street Railway Station,B4100,2438.4583333333335,24
A38 [LA (Warwickshire) -> M6 Toll slip road],A38,LA (Warwickshire),M6 Toll slip road,673.7559523809524,168
A38 [LA Boundary (A38) -> Lickey Rd roundabout],A38,LA Boundary (A38),Lickey Rd roundabout,916.7166666666667,120
A38 [LA Boundary (A38) -> Lickey Road roundabout],A38,LA Boundary (A38),Lickey Road roundabout,808.9583333333334,24
A38 [lat: 52.3945 long: -2.0174 -> lat: 52.4389 long: -1.9402],A38,lat: 52.3945 long: -2.0174,lat: 52.4389 long: -1.9402,753.2916666666666,24
A38M [A38(M) -> A4540],A38M,A38(M),A4540,1881.625,24
A38M [Dartmouth Circus A4540 -> Park Circus B4132 Waterlinks Boulevard],A38M,Dartmouth Circus A4540,Park Circus B4132 Waterlinks Boulevard,2989.9821428571427,168
A38M [Park Circus B4132 Waterlinks Boulevard -> A38  M6(J6)],A38M,Park Circus B4132 Waterlinks Boulevard,A38  M6(J6),3629.9444444444443,288
A4029 [A4029 -> B4217],A4029,A4029,B4217,199.89583333333334,48
A4029 [A441 -> A38],A4029,A441,A38,178.35416666666666,48
A4040 [A34 -> A5127],A4040,A34,A5127,652.0333333333333,240
A4040 [A34 -> B4514],A4040,A34,B4514,847.5989583333334,192
A4040 [A38 -> A38 Aston Webb],A4040,A38,A38 Aston Webb,1025.2916666666667,24
A4040 [A38 -> A4040 Wheelwright Road],A4040,A38,A4040 Wheelwright Road,613.6875,96
A4040 [A38 -> A4123],A4040,A38,A4123,1150.5648148148148,216
A4040 [A38 Aston Webb Boulevard -> A4123],A4040,A38 Aston Webb Boulevard,A4123,889.0555555555555,72
A4040 [A4040 Bromford Lane -> A38],A4040,A4040 Bromford Lane,A38,522.5416666666666,72
A4040 [A4040 Rookery Rd -> A34],A4040,A4040 Rookery Rd,A34,582.8888888888889,144
A4040 [A4040 Wheelwright Road -> A47],A4040,A4040 Wheelwright Road,A47,1141.6180555555557,144
A4040 [A41 -> A4040 Oxhill Rd],A4040,A41,A4040 Oxhill Rd,327.27777777777777,72
A4040 [A41 -> A4040 Rookery rd],A4040,A41,A4040 Rookery rd,656.0625,96
A4040 [A41 -> A45],A4040,A41,A45,890.703125,192
A4040 [A4123 -> A4030/A456],A4040,A4123,A4030/A456,382.94444444444446,72
A4040 [A435 -> A34],A4040,A435,A34,547.2666666666667,240
A4040 [A441 -> A38],A4040,A441,A38,521.7678571428571,168
A4040 [A441 -> A435],A4040,A441,A435,362.5833333333333,120
A4040 [A45 -> B4128],A4040,A45,B4128,567.2638888888889,72
A4040 [A457 -> A41],A4040,A457,A41,506.9895833333333,96
A4040 [A47 -> B4128],A4040,A47,B4128,538.0,168
A4040 [A5127 -> A38],A4040,A5127,A38,565.375,96
A4040 [B4514 -> A41],A4040,B4514,A41,577.5208333333334,96
A4040 [LA Boundary (A4040) -> A457],A4040,LA Boundary (A4040),A457,383.875,120
A4041 [A34 -> LA Boundary (A4041)],A4041,A34,LA Boundary (A4041),1215.7916666666667,48
A4041 [LA Boundary (A4041) -> A452],A4041,LA Boundary (A4041),A452,912.125,24
A4097 [A38 -> LA Boundary (A4097)],A4097,A38,LA Boundary (A4097),519.5104166666666,96
A41 [A34 -> A4040 Stockfield],A41,A34,A4040 Stockfield,969.0555555555555,288
A41 [A34 -> A4167],A41,A34,A4167,821.6041666666666,96
A41 [A34 / A4440 / A47 -> A4440],A41,A34 / A4440 / A47,A4440,377.875,24
A41 [A4040 Handsworth -> LA Boundary (A41)],A41,A4040 Handsworth,LA Boundary (A41),939.3055555555555,144
A41 [A4040 Handsworth / B4136 -> A4040 Handsworth],A41,A4040 Handsworth / B4136,A4040 Handsworth,466.7083333333333,72
A41 [A4040 South Section -> A4040 / B4136 Handsworth],A41,A4040 South Section,A4040 / B4136 Handsworth,592.78125,96
A41 [A4040 Stockfield -> A4040 Acocks Green],A41,A4040 Stockfield,A4040 Acocks Green,886.5,96
A41 [A41 -> Great King St roundabout],A41,A41,Great King St roundabout,450.2291666666667,48
A41 [A4167 -> A4540 / A435],A41,A4167,A4540 / A435,703.7986111111111,144
A41 [A441 -> A4440],A41,A441,A4440,963.4166666666666,24
A41 [A4440 -> A4540 Triangle],A41,A4440,A4540 Triangle,546.4305555555555,72
A41 [A45 Triangle -> A441],A41,A45 Triangle,A441,759.5,24
A41 [A4540 -> A45 Triangle],A41,A4540,A45 Triangle,678.2916666666666,24
A41 [A4540 Triangle -> A4040S],A41,A4540 Triangle,A4040S,598.3809523809524,168
A41 [Icknield St -> A41],A41,Icknield St,A41,570.5,24
A41 [LA Boundary (A41) -> A4040 Acocks Green],A41,LA Boundary (A41),A4040 Acocks Green,459.0625,96
A4123 [A456 -> A4040],A4123,A456,A4040,686.2916666666666,168
A435 [A4040 -> B4217],A435,A4040,B4217,541.2833333333333,120
A435 [A4040 Howard Road -> Belgrave Middleway],A435,A4040 Howard Road,Belgrave Middleway,492.0833333333333,24
A435 [B4217 -> A4540],A435,B4217,A4540,546.1111111111111,72
A435 [Maypole Lane/Druids Lane roundabout -> A4040],A435,Maypole Lane/Druids Lane roundabout,A4040,688.4464285714286,168
A4400 [A41 -> A38],A4400,A41,A38,2169.929166666667,240
A4400 [A41 The Priory Queensway -> A38 Corporation St],A4400,A41 The Priory Queensway,A38 Corporation St,1230.6666666666667,24
A4400 [A441 -> A41],A4400,A441,A41,388.75,48
A4400 [A441 -> B4114],A4400,A441,B4114,646.0555555555555,36
A4400 [A4540 -> A4400],A4400,A4540,A4400,1469.7291666666667,48
A4400 [A456/A457 rooundabout -> A41],A4400,A456/A457 rooundabout,A41,1139.875,72
A4400 [A456/A457 rooundabout -> B4100],A4400,A456/A457 rooundabout,B4100,700.0208333333334,96
A4400 [A456/A457 roundabout -> A38],A4400,A456/A457 roundabout,A38,2212.679166666667,240
A441 [A4029 -> A4540],A441,A4029,A4540,954.125,216
A441 [A4040 -> A4029],A441,A4040,A4029,643.875,216
A441 [A4040 -> A4040],A441,A4040,A4040,696.1458333333334,96
A441 [A441 Sherlock St -> A41],A441,A441 Sherlock St,A41,369.625,24
A441 [A441Pershore St -> A41],A441,A441Pershore St,A41,467.8333333333333,24
A441 [A4540 -> A441 Pershore St],A441,A4540,A441 Pershore St,515.8958333333334,48
A441 [Junction 7 M3 -> Junction 6 M3],A441,Junction 7 M3,Junction 6 M3,372.7916666666667,24
A441 [LA Boundary (A441) -> Wharf Rd roundabout],A441,LA Boundary (A441),Wharf Rd roundabout,568.4,120
A441 [LA Boundary (A441) -> Wharf Road roundabout],A441,LA Boundary (A441),Wharf Road roundabout,479.0833333333333,48
A441 [Wharf Rd roundabout -> A4040],A441,Wharf Rd roundabout,A4040,842.0555555555555,72
A441 [Wharf Road roundabout -> A4040],A441,Wharf Road roundabout,A4040,773.4166666666666,72
A45 [A4040 -> B425],A45,A4040,B425,1769.6692708333333,384
A45 [A41 -> A4540],A45,A41,A4540,505.4583333333333,24
A45 [A4540 -> A4040],A45,A4540,A4040,1328.6631944444443,288
A45 [B425 -> LA Boundary (A45)],A45,B425,LA Boundary (A45),1439.6822916666667,192
A45 [lat: 52.4618 long: -1.8157 -> lat: 52.4451 long: -1.7098],A45,lat: 52.4618 long: -1.8157,lat: 52.4451 long: -1.7098,1472.375,24
A452 [A38 -> B4148],A452,A38,B4148,967.8819444444445,144
A452 [A453 -> B4149],A452,A453,B4149,661.1666666666666,72
A452 [A47 -> A38],A452,A47,A38,1410.482142857143,168
A452 [A5127 -> A453],A452,A5127,A453,634.6388888888889,144
A452 [B4114 -> M6 roundabout],A452,B4114,M6 roundabout,972.5625,48
A452 [B4148 -> A5127],A452,B4148,A5127,894.6197916666666,192
A452 [B4149 -> B4138 Western route],A452,B4149,B4138 Western route,646.5277777777778,144
A452 [M6 roundabout -> A47 Fort Parkway],A452,M6 roundabout,A47 Fort Parkway,1691.0729166666667,288
A453 [A34 spur -> M6],A453,A34 spur,M6,1203.701388888889,144
A453 [A4040 -> A34 spur],A453,A4040,A34 spur,960.4444444444445,144
A453 [A452 -> A5127],A453,A452,A5127,408.71875,96
A453 [A5127 -> B4148 Whitehouse Common],A453,A5127,B4148 Whitehouse Common,479.84375,96
A453 [B4138 -> A452],A453,B4138,A452,667.0347222222222,144
A453 [Junction A34/A453 -> M6 Overpass],A453,Junction A34/A453,M6 Overpass,1068.7291666666667,48
A453 [M6 -> B4138],A453,M6,B4138,1099.025,120
A454 [LA Boundary (A454) -> A5127],A454,LA Boundary (A454),A5127,278.46666666666664,120
A4540 [A34 -> A38(M)],A4540,A34,A38(M),1200.825,120
A4540 [A38 -> A456],A4540,A38,A456,1583.1840277777778,288
A4540 [A38(M) -> B4133],A4540,A38(M),B4133,1642.3657407407406,216
A4540 [A41 -> A45],A4540,A41,A45,1412.9444444444443,144
A4540 [A41 -> Great King St roundabout],A4540,A41,Great King St roundabout,467.625,72
A4540 [A435 -> A41],A4540,A435,A41,656.9895833333334,96
A4540 [A441 -> A38],A4540,A441,A38,2373.6444444444446,360
A4540 [A4540 Belgrave Middleway -> A41],A4540,A4540 Belgrave Middleway,A41,1251.4107142857142,168
A4540 [A4540 Highgate Middleway -> A441],A4540,A4540 Highgate Middleway,A441,1972.0494791666667,384
A4540 [A4540 link to Icknield St -> A34],A4540,A4540 link to Icknield St,A34,1021.4404761904761,168
A4540 [A456 -> B4126],A4540,A456,B4126,979.55,120
A4540 [A457 -> A4540 Heaton St],A4540,A457,A4540 Heaton St,1326.0892857142858,168
A4540 [A47 -> A45],A4540,A47,A45,1886.9490740740741,432
A4540 [B4126 -> A457],A4540,B4126,A457,1120.577380952381,168
A4540 [B4133 -> A47],A4540,B4133,A47,1370.7864583333333,192
A4540 [Icknield St -> A41],A4540,Icknield St,A41,485.8888888888889,72
A4540 [Icknield St -> New John St West],A4540,Icknield St,New John St West,955.1369047619048,168
A456 [A4030/A4040 -> A4040],A456,A4030/A4040,A4040,1252.2916666666667,120
A456 [A4040 -> A4540],A456,A4040,A4540,1540.9647435897436,312
A456 [A4540 -> A4400/A457 roundabout],A456,A4540,A4400/A457 roundabout,767.1041666666666,48
A456 [A456 -> A4030/A4040],A456,A456,A4030/A4040,1296.3333333333333,96
A456 [A458 -> A4123],A456,A458,A4123,1408.4375,48
A456 [A458 -> A458],A456,A458,A458,1320.9642857142858,168
A456 [M5 -> A458],A456,M5,A458,886.9114583333334,192
A457 [A4040 -> A4040],A457,A4040,A4040,789.0416666666666,72
A457 [A4040 -> A4540],A457,A4040,A4540,719.9666666666667,120
A457 [A4540 -> A4400],A457,A4540,A4400,889.6458333333334,48
A457 [LA Boundary (A457) -> A4040],A457,LA Boundary (A457),A4040,462.3333333333333,72
A47 [A4400 -> A4540],A47,A4400,A4540,156.0,12
A47 [A452 -> A457],A47,A452,A457,829.2447916666666,192
A47 [A4540 -> A4040],A47,A4540,A4040,605.550925925926,216
A47 [A47 -> A4400],A47,A47,A4400,326.0,24
A5127 [A38(M) -> A4040],A5127,A38(M),A4040,1162.3240740740741,216
A5127 [A38(M)/A4540 -> A38(M)],A5127,A38(M)/A4540,A38(M),967.3295454545455,264
A5127 [A4040 -> A452],A5127,A4040,A452,717.3958333333334,144
A5127 [A452 -> A453],A5127,A452,A453,628.7321428571429,168
A5127 [A453 -> A454],A5127,A453,A454,798.2986111111111,144
A5127 [A453 -> A5127 Queen St],A5127,A453,A5127 Queen St,586.3055555555555,72
A5127 [A454 -> A4026],A5127,A454,A4026,324.15833333333336,120
A5127 [Birmingham Rd -> Mill St],A5127,Birmingham Rd,Mill St,864.9791666666666,96
A5127 [Victoria Rd -> A453],A5127,Victoria Rd,A453,683.9270833333334,96
M6 [5 -> LA Boundary (M6)],M6,5,LA Boundary (M6),4660.089015151515,528
M6 [6 -> 5],M6,6,5,4303.5625,48
M6 [6 -> LA Boundary (M6)],M6,6,LA Boundary (M6),4060.7673611111113,288
M6 [A47 -> 5],M6,A47,5,655.0729166666666,96
