junction,total_connected_traffic
A38,15114.771957671957
A4040,14494.706770833332
A41,11919.805158730158
5,9618.724431818182
A38(M),9554.124452861954
LA Boundary (M6),8720.856376262625
6,8364.329861111111
A4540,8181.18287037037
A34,7858.5047123015875
A441,7465.999479166667
A47,7328.908647486773
Park Circus B4132 Waterlinks Boulevard,6619.926587301587
A452,6173.437003968254
B4132 Waterlinks Boulevard,6156.820833333333
A453,4837.110615079365
A456,4545.359027777778
A4040 Wheelwright Road,4253.074494949495
A457,4166.776041666667
Just West of Birmingham New Street Railway Station,4133.833333333334
A5127,3913.6961805555557
B4148,3889.6021825396824
A45,3867.1574074074074
A4123,3831.002314814815
A38  M6(J6),3629.9444444444443
A458,3616.3132440476193
B425,3209.3515625
M6(J6),3202.3125
A4400,3181.6550925925926
B4100,3138.479166666667
B4133,3013.152199074074
A34 spur,2990.2743055555557
Dartmouth Circus A4540,2989.9821428571427
6 / M6,2954.508333333333
A4540 Belgrave Middleway,2946.785714285714
M6 roundabout,2663.635416666667
A4030/A4040,2548.625
LA Boundary (A38),2384.4851851851854
M6,2302.7263888888892
A456/A457 roundabout,2212.679166666667
LA Boundary (A4041),2127.916666666667
B4126,2100.127380952381
A4540 Highgate Middleway,1972.0494791666667
B4121,1906.927777777778
A4440,1887.7222222222222
A4040 Stockfield,1855.5555555555557
A456/A457 rooundabout,1839.8958333333335
B4217,1822.9152777777776
A4029,1797.8958333333333
B4138,1766.0597222222223
A4097,1697.3240740740741
A47 Fort Parkway,1691.0729166666667
B4114,1618.6180555555557
A4040 Bromford Lane,1571.0833333333335
A435,1566.8395833333334
A4167,1525.4027777777778
lat: 52.4618 long: -1.8157,1472.375
lat: 52.4451 long: -1.7098,1472.375
A38(M) mid-junction,1449.2272727272727
Icknield St,1441.0257936507937
LA Boundary (A45),1439.6822916666667
A45 Triangle,1437.7916666666665
B4514,1425.1197916666667
Wharf Rd roundabout,1410.4555555555555
A4040 Handsworth,1406.013888888889
LA Boundary (A41),1398.3680555555557
A4040 Acocks Green,1345.5625
A4540 Heaton St,1326.0892857142858
B4149,1307.6944444444443
Wharf Road roundabout,1252.5
A41 The Priory Queensway,1230.6666666666667
A38 Corporation St,1230.6666666666667
A4540 Triangle,1144.811507936508
A454,1122.4569444444444
B4120,1115.2777777777778
B4128,1105.263888888889
Junction A34/A453,1068.7291666666667
M6 Overpass,1068.7291666666667
LA Boundary (A441),1047.4833333333333
A38 Aston Webb,1025.2916666666667
A4540 link to Icknield St,1021.4404761904761
A4400/A38,1010.1041666666666
A38(M)/A4540,967.3295454545455
New John St West,955.1369047619048
Lickey Rd roundabout,916.7166666666667
A38 Aston Webb Boulevard,889.0555555555555
M5,886.9114583333334
Birmingham Rd,864.9791666666666
Mill St,864.9791666666666
A34 main route,844.0416666666666
A4041,826.1284722222222
Lickey Road roundabout,808.9583333333334
A4400/A457 roundabout,767.1041666666666
lat: 52.3945 long: -2.0174,753.2916666666666
lat: 52.4389 long: -1.9402,753.2916666666666
B4025 roundabout,753.2083333333334
A4540 / A435,703.7986111111111
Maypole Lane/Druids Lane roundabout,688.4464285714286
Victoria Rd,683.9270833333334
LA (Warwickshire),673.7559523809524
M6 Toll slip road,673.7559523809524
A4040 Rookery rd,656.0625
B4138 Western route,646.5277777777778
A4040S,598.3809523809524
A4040 South Section,592.78125
A4040 / B4136 Handsworth,592.78125
A5127 Queen St,586.3055555555555
A4040 Rookery Rd,582.8888888888889
A38M,560.9166666666666
LA Boundary (A4097),519.5104166666666
A441 Pershore St,515.8958333333334
A4040 Howard Road,492.0833333333333
Belgrave Middleway,492.0833333333333
B4148 Whitehouse Common,479.84375
A441Pershore St,467.8333333333333
Great King St roundabout,467.625
A4040 Handsworth / B4136,466.7083333333333
LA Boundary (A457),462.3333333333333
LA Boundary (A4040),383.875
A4030/A456,382.94444444444446
A34 / A4440 / A47,377.875
Junction 7 M3,372.7916666666667
Junction 6 M3,372.7916666666667
A441 Sherlock St,369.625
A4040 Oxhill Rd,327.27777777777777
A4026,324.15833333333336
LA Boundary (A454),278.46666666666664
